title,rating,tags,image,url,summary
恐怖分子的洋伞,7.2,[日本] 藤原伊织 / 2022 / 北京日报出版社,https://img9.doubanio.com/view/subject/l/public/s34367445.jpg,https://book.douban.com/subject/36075910/,22年前，女友不辞而别，好友远赴重洋，他则被卷入一起命案，漂泊至今。此刻，他目睹了一起爆炸案，诡异的是，死者名单中，好友与女友的名字赫然在列！他成了头号通缉犯，再次失去归处。同时，形形色色的陌生人相继闯入他的世界：缺两根手指的前江口组老大、女友的女儿、流落街头的老教授……每个人似乎都与爆炸案隐秘相关。他一边躲避警方的追捕，一边暗自调查，却慢慢发现，对自己步步紧逼的，正是22年前那段黑暗的过往……
秋花,8.6,[日] 北村薰 / 2025 / 贵州人民出版社,https://img1.doubanio.com/view/subject/l/public/s35055118.jpg,https://book.douban.com/subject/37157888/,“之前的解谜，其实只是小孩子的游戏，今后该怎么做，才是真正困难的问题。”“我”今年已经大三，一天，“我”和死党小正聊到高中母校的文化祭某年突然停办，原因是校内一名女生跳楼身亡。这个女生有一位情同姐妹的好友，女生的死让挚友深受打击。某天，“我”家信箱收到一张像是从那个自杀女生的课本上复印下来的课文。“我”觉得她自杀的原因不简单，于是向圆紫大师求助……
绝叫,8.9,[日] 叶真中显 / 2020 / 北京联合出版公司,https://img3.doubanio.com/view/subject/l/public/s33685372.jpg,https://book.douban.com/subject/35031587/,铃木阳子死了，死在独居的公寓里。正确说来，是铃木阳 子几个月前死了。因为发现她时，不但遗体遭到屋内的十一只猫啃食，连猫也全数饿死了。铃木阳子显然是「孤独死」的最佳范例，但这名女子为何落到这步田地？她的亲人、朋友、同事在哪里？她的人生轨迹又是如何？
杀人游戏,7.1,雷钧 / 2019 / 新星出版社,https://img1.doubanio.com/view/subject/l/public/s32313680.jpg,https://book.douban.com/subject/30425286/,“杀人游戏”又称“警匪游戏”，是一类智力和心力游戏。概括地说，是一个多人参与的较量口才和分析判断推理能力的游戏，当然，心理素质在中间也起着很关键的作用。根据规则的不同，又可呈现出狼人杀、剧本杀、密室逃脱等不同的形态。本是让人放松的游戏，可在心怀叵测之徒看来，却是满足自己私欲、隐藏不齿罪行的绝好机会。五款不同的游戏，各自不同的规则，眼花缭乱的交锋之中，谁能成为最后的赢家？
遗落的南境1：湮灭,7.7,[美]杰夫·范德米尔 / 2015 / 天地出版社,https://img3.doubanio.com/view/subject/l/public/s28343993.jpg,https://book.douban.com/subject/26652880/,《遗落的南境》第一部《湮灭》讲述四位女性被派遣前往边界外勘察，这是一片荒芜了多年、被称为X区域的神秘地带。 她们已经是政府派遣出的第十二支勘探队。以往勘探队均以失败告终。在探险的过程中，女主角发现自己一直在被欺骗和误导，身处危险与谎言之中。
七个证人,7.3,[日] 西村京太郎 / 2024 / 新星出版社,https://img9.doubanio.com/view/subject/l/public/s34896035.jpg,https://book.douban.com/subject/36826819/,东京街头突发凶杀案，警方根据现场调查与目击证人的证词，逮捕了犯罪嫌疑人佐伯信夫，并判处这个青年入狱九年。不久，佐伯在狱中病死。一年后，佐伯的父亲将与案件相关的七个证人掠至一处孤岛，他精心搭建了案发现场的街景，逐一验证当年证词的真伪。在一同被带到岛上的刑警十津川的见证下，案件经过一点点被还原，似乎没有翻案的迹象，直到一个证人突然遇害……
希腊棺材之谜,8.0,[美] 埃勒里·奎因、弗雷德里克·丹奈 / 2017 / 新星出版社,https://img1.doubanio.com/view/subject/l/public/s29407650.jpg,https://book.douban.com/subject/26941500/,离世的古董商留下了巨额遗产，谁是那个幸运的继承人？葬礼之后，人们突然发现刚刚还出现在众人眼前的遗嘱，突然不见了踪影！在毫无头绪之际，埃勒里·奎因指出，遗嘱只可能被藏到了一个地方——那位古董商长眠的希腊棺材里。然而，当棺盖缓缓开启，众人惊觉棺材中非但没有遗嘱的踪影，还凭空多了一具尸体……
剪刀男,8.1,[日] 殊能将之 / 2009 / 新星出版社,https://img3.doubanio.com/view/subject/l/public/s3977823.jpg,https://book.douban.com/subject/4034009/,迷恋着美少女的体温，却又憧憬死亡的怀抱，徘徊在强烈的杀人欲望和自杀愿望的阴暗夹缝中……剪刀男终于找到了完美的第三名牺牲者。正欲下手之际，却阴错阳差地成了尸体发现者！“我可以承认杀了前两人，但绝对不想因为没做的事情而被抓！”
驅邪,N/A,[日] 今村昌弘 / 2025 / 獨步文化,https://img9.doubanio.com/view/subject/l/public/s35240304.jpg,https://book.douban.com/subject/37407956/,「就算找出第七個怪談就會死，我也要知道真相！」奧野鎮──沒落的礦山小鎮，女人在雪中死去，留下一份檔案。六個虛實交錯的怪談，唯獨第七個留白，因為「知道了第七個怪談，就會死去」……日本評論家：這座城鎮，本身就是錯綜複雜的巨大謎團！
瑞士手表之谜,7.3,[日] 有栖川有栖 / 2015 / 上海译文出版社,https://img1.doubanio.com/view/subject/l/public/s28275109.jpg,https://book.douban.com/subject/26308261/,《瑞士手表之谜》乃“国名系列”第七弹，由《某Y的悲剧》《女雕塑家的头颅》《夏洛克的密室》《瑞士手表之谜》四部推理作品构成。“社会思想研究会”是个由六名优秀高中生组成的社团，社员们个个骄傲自负，彼此互相竞争，却又互相勉励，毕业多年后仍会定期聚会，然而，这次聚会的隔天，却有一个人被发现陈尸于自宅，身上象征友情的手表则不翼而飞，明显整理过的命案现场还发现些微的玻璃碎屑。死者刚好是推理作家有栖川有栖的高中旧识，在有栖川与犯罪学家火村英生展开侦察的同时，有栖川忆起自己创作的起点……
Cozy Boys：居酒屋消失之謎,N/A,[日] 笛吹太郎 / 2023 / 獨步文化,https://img3.doubanio.com/view/subject/l/public/s34627822.jpg,https://book.douban.com/subject/36468913/,被蛋糕、好茶和同好圍繞！作家和編輯組成的推理小說愛好會，一個月一次在東京咖啡館舉辦。讀書會規則只有一條，那就是──「可以說書的壞話，不能說人的壞話！」可惜沒人遵守，又老是離題。（離題內容當然都和人有關，與書無關）還會蹦出一個「在意得不得了的謎團」！狂喝了三家居酒屋，清醒時發現自己變成殺人犯，又找不到證明不在場證明的店家，一家店如何一夜間消失不見？抽屜裡放了五萬圓，一回神竟變成十萬圓！小偷難道是個慈善家？家裡沒人去世，過年時卻四處寄送「家有喪事」的明信片，該不會是一種新形態的詛咒？ （可怕！）包括以上謎團在內的七個謎團，全如可以一口吞下的小小甜點！配上作家精心準備的線索，您──能比這些聊起推理小說口若懸河、解謎不太可靠的書痴更早發現「真相」嗎？邀您一同沉浸在由蛋糕、甜點、幽默和偵探譜成的溫暖午後時光🍰
你的谜题由我作答 1,7.6,[日] 纸城境介 / 2021 / 星海社,https://img9.doubanio.com/view/subject/l/public/s33800395.jpg,https://book.douban.com/subject/35285623/,明神凛音，总是窝在心理咨询室的神秘少女，不愿踏入教室，却能一眼看穿所有案件的真相。无论多么复杂的谜题，只要她开口，答案便如天启般降临。然而，她却无法解释自己的推理过程。伊吕波透矢从小便梦想成为一名律师，将“无罪推定”视为人生信条。为了升入心仪的大学，他不得不违背信条接下来自老师的委托——推理出“她的推理”。面对一个个离奇的案件，凛音洞察真相，透矢则需要填补那些无法解释的逻辑空白。当推理无法言明，真相是否还会被信服？这并不重要，因为——“我相信，最终我能证明你的推理是正确的。”
三口棺材,7.7,[美] 约翰·迪克森·卡尔 / 2019 / 新星出版社,https://img3.doubanio.com/view/subject/l/public/s32264143.jpg,https://book.douban.com/subject/30324991/,说起葛里莫教授的案子，无论用多少稀奇古怪的形容词都不为过，连菲尔博士那些钟爱不可能犯罪的朋友都绝不可能从他的案卷中找出更迷雾重重、更令人惊骇的案例了。两起在时间、空间上都相邻发生的案件，其匪夷所思的程度让菲尔博士屡屡受挫。雪地上的足迹，谜一般的遗言，恐怖的油画，变色的大衣……如幽灵般潜入密室行凶，又消失得无影无踪的空幻之人究竟是谁？
午後のチャイムが鳴るまでは,N/A,[日] 阿津川辰海 / 2023 / 実業之日本社,https://img3.doubanio.com/view/subject/l/public/s34619353.jpg,https://book.douban.com/subject/36480657/,九十九ヶ丘高校の昼休みは大忙し！65分間の“完全犯罪”を暴くのは誰？当代一の俊英が圧倒的な熱量で描く、傑作学園ミステリ！
全部成为F,7.7,[日] 森博嗣 / 2010 / 江苏文艺出版社,https://img1.doubanio.com/view/subject/s/public/s27337308.jpg,https://book.douban.com/subject/4836934/,拥有多重性格的天才少女真贺田四季，十四岁时杀死了自己的双亲，此后就一直被禁闭在孤岛的研究所内。十五年后，慕名而来的犀川和萌绘却在密室里发现了被截掉四肢的四季尸体。所长及副所长相继被人杀死。凶手究竟是谁呢？而真贺田博士在计算机里留下的最后遗言“全部成为F”又隐藏着怎样的讯息？
六之宫公主,8.8,[日] 北村薰 / 2010 / 独步文化,https://img3.doubanio.com/view/subject/s/public/s4487457.jpg,https://book.douban.com/subject/5293928/,女主角「我」無意間聽到「芥川當時說：《六之宮公主》應該是傳接球（catch ball）。」這句話，產生疑惑。傳接球是指《六之宮公主》發想來自古籍《今昔物語》嗎？好像不是那麼單純。於是女主角開始遍查群書，她透過作家全集和雜誌，不只針對芥川，也翻閱當時其他作家的文章、書信，企圖找出這句話的蛛絲馬跡。書中提到許多大正時期的作家，那些共創『白樺』、『文藝春秋』的天才們，像谷崎潤一郎、志賀直哉、菊池寬等人的作品，簡直可說是汗牛充棟。一想到要讀多少書才能解開謎團，就忍不住背脊發涼。主角一一比對每個作家的作品，以及他們和芥川的關係。最後定焦在芥川與菊池寬的身上。這兩位作家個性、作品風格、為人行事都截然不同。作者探討他們對文學的不同態度，個性上的相剋，十分引人入勝。
牺牲,8.5,[日] 近藤史惠 / 2011 / 上海人民出版社,https://img1.doubanio.com/view/subject/l/public/s6379458.jpg,https://book.douban.com/subject/5975566/,这是一本讲述年轻人参加公路自行车赛的遭遇的小说。从内容上来说是青春励志的题材，从体裁上来说是推理小说。《牺牲》这个题目在小说中包括两层含义：一是为了让自行车队中的王牌能够取得胜利，其他队友必须牺牲自己的成绩。虽然是集体运动，但是能够闪光的只有王牌一人。第二层含义则是说王牌必须做出自我牺牲。无论多么艰难，都要背负着队友的牺牲、嫉妒和内心的挣扎等各种重担前行，争取胜利。全书的主人公不是“王牌”，而是一名必须作出牺牲的队友，他从自己的视点记录了比赛和队友们之间的是是非非。
紧闭的门扉,7.6,[日] 石持浅海 / 2020 / 人民文学出版社,https://img1.doubanio.com/view/subject/l/public/s33547680.jpg,https://book.douban.com/subject/34431944/,七位校友在高级民宿里举行了一场同学会。故事一开头，伏见便杀害了学弟新山。现场的门始终未曾打开。所有人都以为新山只是吃了感冒药在熟睡。然而头脑聪明的优佳却产生了怀疑。冷静的凶手与冷静的侦探进行了一场长达九小时的博弈。凶手的动机到底是什么？
城市之光,7.9,[日] 北村薰 / 2012 / 人民文学出版社,https://img9.doubanio.com/view/subject/l/public/s9126606.jpg,https://book.douban.com/subject/10755064/,名门华族家的小姐花村英子原本过着一般贵族小姐的平静生活，直到有一天，负责接送她的转职司机、被英子尊称为“别姬小姐”的别宫美津子出现在了她的生活中，从此，她的生活开始充满着谜团。而“我和别姬小姐”的故事也由此拉开了序幕——本书一如《鹭与雪》的格局，由三个短篇解谜故事组成：解决从报纸上看来的奇怪事件的《名利场》、解决暗号推理诡计的《银座八大街》和解决电影放映会中的横死之谜的“标题作”《城市之光》。贵族小姐眼中的昭和时代，虽不乏柔和而温情，却也透着一些冷冽。那些看似微小的日常之谜背后隐藏着的则是更复杂的人性。
